time_ms,left_cmd_torque,right_cmd_torque,fl_vel,fr_vel,robot_vel
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,-0,-0,0,0,0
23,-0,-0,0,0,0
24,-0,-0,0,0,0
25,-0,-0,0,0,0
26,-0,-0,0,0,0
27,-0,-0,0,0,0
28,-0,-0,0,0,0
29,-0,-0,0,0,0
30,-0,-0,0,0,0
31,-0,-0,0,0,0
32,-0,-0,0,0,0
33,-0,-0,0,0,0
34,-0,-0,0,0,0
35,-0,-0,0,0,0
36,-0,-0,0,0,0
37,-0,-0,0,0,0
38,-0,-0.6,0,0,0
39,-0,-0.6,0,-0.0114778,0
40,-0,-0.9,0,-0.0210447,0
41,-0,-0.9,0,-0.0347549,0
42,0.6,-1.2,0,-0.0461811,0
43,0.6,-1.2,0.0114778,-0.0614366,0
44,0.9,-1.5,0.0210447,-0.074149,0
45,0.9,-1.5,0.0347549,-0.0904716,0
46,1.2,-1.8,0.0461811,-0.104071,0
47,1.2,-1.8,0.0614366,-0.121128,0
48,1.5,-2.0112,0.074149,-0.135338,0
49,1.5,-2.0112,0.0904716,-0.151204,0
50,1.8,-2.0128,0.104071,-0.164421,0
51,1.8,-2.0128,0.121128,-0.175461,0
52,2.0112,-2.0144,0.135338,-0.184657,0
53,2.0112,-2.0144,0.151204,-0.192348,0
54,2.0128,-2.016,0.164421,-0.198754,0
55,2.0128,-2.016,0.175461,-0.204121,0
56,2.0144,-2.0176,0.184657,-0.208592,0
57,2.0144,-2.0176,0.192348,-0.212347,0
58,2.016,-2.0192,0.198754,-0.215474,0
59,2.016,-2.0192,0.204121,-0.21811,0
60,2.0176,-2.0208,0.208592,-0.220305,0
61,2.0176,-2.0208,0.212347,-0.222165,0
62,2.0192,-2.0224,0.215474,-0.223714,0
63,2.0192,-2.0224,0.21811,-0.225034,0
64,2.0208,-2.024,0.220305,-0.226134,0
65,2.0208,-2.024,0.222165,-0.227081,0
66,2.0224,-2.0256,0.223714,-0.22787,0
67,2.0224,-2.0256,0.225034,-0.228557,0
68,2.024,-2.0272,0.226134,-0.22913,0
69,2.024,-2.0272,0.227081,-0.229637,0
70,2.0256,-2.0288,0.22787,-0.23006,0
71,2.0256,-2.0288,0.228557,-0.230443,0
72,2.0272,-2.0304,0.22913,-0.230761,0
73,2.0272,-2.0304,0.229637,-0.231057,0
74,2.0288,-2.032,0.23006,-0.231304,0
75,2.0288,-2.032,0.230443,-0.23154,0
76,2.0304,-2.0336,0.230761,-0.231736,0
77,2.0304,-2.0336,0.231057,-0.23193,0
78,2.032,-2.0352,0.231304,-0.232092,0
79,2.032,-2.0352,0.23154,-0.232257,0
80,2.0336,-2.0368,0.231736,-0.232394,0
81,2.0336,-2.0368,0.23193,-0.232539,0
82,2.0352,-2.0384,0.232092,-0.23266,0
83,2.0352,-2.0384,0.232257,-0.232791,0
84,2.0368,-2.04,0.232394,-0.2329,0
85,2.0368,-2.04,0.232539,-0.233022,0
86,2.0384,-2.0416,0.23266,-0.233123,0
87,2.0384,-2.0416,0.232791,-0.233238,0
88,2.04,-2.0432,0.2329,-0.233333,0
89,2.04,-2.0432,0.233022,-0.233443,0
90,2.0416,-2.0448,0.233123,-0.233535,0
91,2.0416,-2.0448,0.233238,-0.233642,0
92,2.0432,-2.0464,0.233333,-0.233731,0
93,2.0432,-2.0464,0.233443,-0.233835,0
94,2.0448,-2.048,0.233535,-0.233923,0
95,2.0448,-2.048,0.233642,-0.234026,0
96,2.0464,-2.0496,0.233731,-0.234111,0
97,2.0464,-2.0496,0.233835,-0.234213,0
98,2.048,-2.0512,0.233923,-0.234298,0
99,2.048,-2.0512,0.234026,-0.234399,0
100,2.0496,-2.0528,0.234111,-0.234484,0
101,2.0496,-2.0528,0.234213,-0.234584,0
102,2.0512,-2.0544,0.234298,-0.234668,0
103,2.0512,-2.0544,0.234399,-0.234769,0
104,2.0528,-2.056,0.234484,-0.234852,0
105,2.0528,-2.056,0.234584,-0.234952,0
106,2.0544,-2.0576,0.234668,-0.235036,0
107,2.0544,-2.0576,0.234769,-0.235135,0
108,2.056,-2.3576,0.234852,-0.235219,0
109,2.056,-2.3576,0.234952,-0.240999,0
110,2.0576,-2.3592,0.235036,-0.245813,0
111,2.0576,-2.3592,0.235135,-0.249853,0
112,2.0592,-2.6592,0.235219,-0.253218,0
113,2.0592,-2.6592,0.235318,-0.261729,0
114,2.3592,-2.9592,0.235402,-0.268816,0
115,2.3592,-2.9592,0.241182,-0.280425,0
116,2.6592,-3.2592,0.245996,-0.290091,0
117,2.6592,-3.2592,0.255714,-0.303843,0
118,2.9592,-3.5592,0.263808,-0.315293,0
119,2.9592,-3.5592,0.276255,-0.330525,0
120,3.2592,-3.8592,0.286619,-0.343206,0
121,3.2592,-3.8592,0.300965,-0.359471,6.19519e-05
122,3.5592,-4.1592,0.313132,-0.373232,0.000260919
123,3.5592,-4.1592,0.329465,-0.390882,0.000572065
124,3.8592,-4.4592,0.343826,-0.406335,0.00100351
125,3.8592,-4.4592,0.362487,-0.425894,0.00153504
126,4.1592,-4.56401,0.379268,-0.443418,0.00217804
127,4.1592,-4.56401,0.400401,-0.46146,0.00290966
128,4.4592,-4.63713,0.419667,-0.478149,0.00373103
129,4.4592,-4.63713,0.443248,-0.495281,0.00462462
130,4.6035,-4.65162,0.464897,-0.511562,0.00559398
131,4.6035,-4.65162,0.487826,-0.527565,0.00662004
132,4.61854,-4.65344,0.50921,-0.543185,0.00769605
133,4.61854,-4.65344,0.529693,-0.558622,0.00880675
134,4.69217,-4.72837,0.549213,-0.573942,0.00994201
135,4.69217,-4.72837,0.569372,-0.590632,0.0110973
136,4.70314,-4.7368,0.58872,-0.607092,0.0122757
137,4.70314,-4.7368,0.607645,-0.623567,0.0134697
138,4.70057,-4.7235,0.626045,-0.639928,0.0146749
139,4.70057,-4.7235,0.64398,-0.655963,0.0158864
140,4.77616,-4.80063,0.661588,-0.671991,0.0171
141,4.77616,-4.80063,0.680354,-0.689471,0.0183176
142,4.76045,-4.79447,0.698673,-0.706719,0.0195474
143,4.76045,-4.79447,0.716347,-0.723683,0.0207839
144,4.74202,-4.77635,0.733794,-0.740538,0.0220223
145,4.74202,-4.77635,0.750706,-0.756965,0.02326
146,4.82038,-4.85603,0.767518,-0.773371,0.0244933
147,4.82038,-4.85603,0.78571,-0.791251,0.0257263
148,4.79908,-4.82575,0.803584,-0.808865,0.0269686
149,4.79908,-4.82575,0.82081,-0.825705,0.0282148
150,4.76583,-4.79347,0.837902,-0.842476,0.029459
151,4.76583,-4.79347,0.854252,-0.858577,0.0306988
152,4.84731,-4.8764,0.870597,-0.874715,0.0319298
153,4.84731,-4.8764,0.88845,-0.892423,0.0331574
154,4.81159,-4.84169,0.906028,-0.90988,0.0343926
155,4.81159,-4.84169,0.922722,-0.926491,0.03563
156,4.76431,-4.79547,0.93935,-0.94305,0.036863
157,4.76431,-4.79547,0.955026,-0.958689,0.0380891
158,4.84942,-4.88196,0.970778,-0.97441,0.0393029
159,4.84942,-4.88196,0.988162,-0.991794,0.0405109
160,4.79997,-4.83356,1.00531,-1.00894,0.0417253
161,4.79997,-4.83356,1.02134,-1.02499,0.0429404
162,4.74893,-4.78357,1.03736,-1.04103,0.0441482
163,4.74893,-4.78357,1.05241,-1.05611,0.045347
164,4.83795,-4.8739,1.06758,-1.0713,0.0465313
165,4.83795,-4.8739,1.08448,-1.08825,0.0477087
166,4.77527,-4.81223,1.10116,-1.10497,0.0488921
167,4.77527,-4.81223,1.11648,-1.12034,0.0500755
168,4.7114,-4.74934,1.13185,-1.13575,0.0512491
169,4.7114,-4.74934,1.14604,-1.14999,0.0524114
170,4.80477,-4.84395,1.1604,-1.1644,0.053556
171,4.80477,-4.84395,1.17663,-1.18069,0.0546916
172,4.72955,-4.77925,1.19265,-1.19676,0.0558324
173,4.72955,-4.77925,1.2071,-1.21145,0.0569721
174,4.66313,-4.70396,1.22165,-1.22619,0.0581004
175,4.66313,-4.70396,1.235,-1.23955,0.059216
176,4.76107,-4.80308,1.24858,-1.25312,0.0603118
177,4.76107,-4.80308,1.26411,-1.26867,0.0613975
178,4.67384,-4.7167,1.27945,-1.28403,0.0624881
179,4.67384,-4.7167,1.293,-1.29761,0.0635768
180,4.59582,-4.63949,1.30668,-1.31131,0.0646513
181,4.59582,-4.63949,1.31898,-1.32365,0.0657107
182,4.69871,-4.7435,1.33156,-1.33625,0.066748
183,4.69871,-4.7435,1.34622,-1.35096,0.0677737
184,4.60978,-4.65533,1.36069,-1.36547,0.068804
185,4.60978,-4.65533,1.37337,-1.37819,0.0698322
186,4.5207,-4.55741,1.38618,-1.39104,0.0708458
187,4.5207,-4.55741,1.39743,-1.40215,0.0718435
188,4.62869,-4.66666,1.40898,-1.41359,0.0728163
189,4.62869,-4.66666,1.42274,-1.42729,0.0737758
190,4.52903,-4.57748,1.43632,-1.44081,0.0747397
191,4.52903,-4.57748,1.44791,-1.45254,0.0757008
192,4.42964,-4.47876,1.45967,-1.46443,0.0766465
193,4.42964,-4.47876,1.4697,-1.47457,0.0775751
194,4.54305,-4.59319,1.48009,-1.48505,0.0784776
195,4.54305,-4.59319,1.49282,-1.49788,0.0793663
196,4.44298,-4.49377,1.50539,-1.51053,0.0802596
197,4.44298,-4.49377,1.51597,-1.52119,0.0811502
198,4.34343,-4.38526,1.52674,-1.53203,0.0820248
199,4.34343,-4.38526,1.53579,-1.54096,0.0828818
200,4.46216,-4.50515,1.5452,-1.55028,0.0837116
201,4.46216,-4.50515,1.55706,-1.56208,0.0845273
202,4.35249,-4.40583,1.56873,-1.57371,0.0853482
203,4.35249,-4.40583,1.57824,-1.58337,0.0861666
204,4.24375,-4.29763,1.58795,-1.59321,0.0869685
205,4.24375,-4.29763,1.59579,-1.60116,0.0877525
206,4.36807,-4.42287,1.60404,-1.6095,0.0885085
207,4.36807,-4.42287,1.61486,-1.62042,0.0892502
208,4.25908,-4.30482,1.62551,-1.63116,0.0899976
209,4.25908,-4.30482,1.63402,-1.63956,0.0907428
210,4.14165,-4.19767,1.64274,-1.6482,0.0914703
211,4.14165,-4.19767,1.64943,-1.65501,0.0921791
212,4.27162,-4.32852,1.65655,-1.66223,0.0928589
213,4.27162,-4.32852,1.66637,-1.67215,0.093524
214,4.16384,-4.2116,1.67602,-1.68188,0.0941954
215,4.16384,-4.2116,1.68355,-1.68931,0.094865
216,4.04783,-4.09622,1.69129,-1.69696,0.0955177
217,4.04783,-4.09622,1.69703,-1.70264,0.096152
218,4.18328,-4.23269,1.70319,-1.70876,0.0967571
219,4.18328,-4.23269,1.71214,-1.71769,0.0973479
220,4.06743,-4.11743,1.72091,-1.72644,0.0979459
221,4.06743,-4.11743,1.7274,-1.73292,0.0985428
222,3.94374,-4.0039,1.73411,-1.73963,0.0991229
223,3.94374,-4.0039,1.73869,-1.74439,0.0996846
224,4.08487,-4.14582,1.74372,-1.74958,0.100217
225,4.08487,-4.14582,1.75169,-1.75769,0.100735
226,3.97118,-4.02291,1.75947,-1.76559,0.101261
227,3.97118,-4.02291,1.76502,-1.77106,0.101787
228,3.85941,-3.91169,1.77079,-1.77677,0.102295
229,3.85941,-3.91169,1.77465,-1.78059,0.102787
230,4.00582,-4.05906,1.77893,-1.78485,0.10325
231,4.00582,-4.05906,1.78621,-1.79212,0.1037
232,3.88478,-3.9385,1.79327,-1.79917,0.10416
233,3.88478,-3.9385,1.79794,-1.80384,0.10462
234,3.76601,-3.82021,1.80284,-1.80874,0.105065
235,3.76601,-3.82021,1.80571,-1.81161,0.105491
236,3.91789,-3.973,1.80902,-1.81493,0.105889
237,3.91789,-3.973,1.81544,-1.82138,0.106274
238,3.79963,-3.8552,1.82165,-1.82761,0.106669
239,3.79963,-3.8552,1.82551,-1.8315,0.107066
240,3.68378,-3.7398,1.8296,-1.83561,0.107447
241,3.68378,-3.7398,1.83171,-1.83774,0.107811
242,3.84091,-3.8978,1.83425,-1.8403,0.108148
243,3.84091,-3.8978,1.84,-1.84608,0.108472
244,3.72561,-3.78292,1.8455,-1.85162,0.108809
245,3.72561,-3.78292,1.84872,-1.85486,0.109148
246,3.60327,-3.66098,1.85213,-1.8583,0.109473
247,3.60327,-3.66098,1.85344,-1.85964,0.109782
248,3.7656,-3.82416,1.85519,-1.86141,0.110063
249,3.7656,-3.82416,1.86025,-1.86651,0.110332
250,3.65358,-3.71251,1.86507,-1.87135,0.110614
251,3.65358,-3.71251,1.86764,-1.87396,0.110899
252,3.5346,-3.59389,1.87041,-1.87675,0.111171
253,3.5346,-3.59389,1.87112,-1.87749,0.111428
254,3.70191,-3.76201,1.87226,-1.87866,0.111658
255,3.70191,-3.76201,1.87679,-1.88322,0.111877
256,3.59326,-3.65369,1.88106,-1.88752,0.112111
257,3.59326,-3.65369,1.88313,-1.88962,0.112349
258,3.47772,-3.53847,1.88538,-1.89189,0.112576
259,3.47772,-3.53847,1.88562,-1.89216,0.112788
260,3.64977,-3.7113,1.88628,-1.89284,0.112976
261,3.64977,-3.7113,1.8904,-1.89699,0.113153
262,3.54453,-3.59676,1.89423,-1.90085,0.113347
263,3.54453,-3.59676,1.89591,-1.90239,0.113546
264,3.43246,-3.49474,1.89775,-1.9041,0.113734
265,3.43246,-3.49474,1.89763,-1.90406,0.113909
266,3.60901,-3.67204,1.89791,-1.90441,0.11406
267,3.60901,-3.67204,1.90171,-1.90828,0.114203
268,3.49758,-3.56087,1.9052,-1.91183,0.114364
269,3.49758,-3.56087,1.90642,-1.91311,0.114532
270,3.38913,-3.45266,1.90781,-1.91453,0.114689
271,3.38913,-3.45266,1.90731,-1.91407,0.114834
272,3.57014,-3.63441,1.90719,-1.914,0.114955
273,3.57014,-3.63441,1.91069,-1.91754,0.115069
274,3.46225,-3.52674,1.91386,-1.92074,0.1152
275,3.46225,-3.52674,1.91482,-1.92173,0.11534
276,3.35736,-3.42205,1.91592,-1.92286,0.11547
277,3.35736,-3.42205,1.91519,-1.92216,0.115589
278,3.54261,-3.60801,1.91484,-1.92183,0.115685
279,3.54261,-3.60801,1.91815,-1.92517,0.115775
